"","rank","port","economy","lon","lat","port_label","year","volume"
"1",1,"Shanghai","China",121.473701,31.230416,"Shanghai","2014[1]","35,268"
"2",2,"Singapore","Singapore",103.819836,1.352083,"Singapore","2014[1]","33,869"
"3",3,"Shenzhen","China",114.057865,22.543096,"Shenzhen","2014[1]","23,798"
"4",4,"Hong Kong","China",114.109497,22.396428,"Hong Kong","2014[1]","22,374"
"5",5,"Ningbo-Zhoushan","China",121.9880433,29.9016199,"Ningbo/Z-shan","2014[1]","19,450"
"6",6,"Busan","South Korea",129.0756416,35.1795543,"Busan","2014[1]","18,423"
"7",7,"Qingdao","China",120.382609,36.067108,"Qingdao","2014[1]","16,624"
"8",8,"Guangzhou","China",113.264385,23.12911,"Guangzhou","2014[1]","16,160"
"9",9,"Jebel Ali (Dubai)","United Arab Emirates",55.0272904,24.9857145,"Dubai","2014[1]","14,750"
"10",10,"Tianjin","China",117.200983,39.084158,"Tianjin","2014[1]","14,050"
"11",11,"Rotterdam","Netherlands",4.4777325,51.9244201,"Rotterdam","2014[1]","12,453"
"12",12,"Port Klang","Malaysia",101.39283,2.999852,"Port Klang","2014[1]","10,736"
"13",13,"Kaohsiung","Taiwan",120.3014353,22.6272784,"Kaohsiung","2014[1]","10,593"
"14",14,"Dalian","China",121.614682,38.914003,"Dalian","2014[1]","10,128"
"15",15,"Hamburg","Germany",9.9936818,53.5510846,"Hamburg","2014[1]","9,729"
"16",16,"Antwerp","Belgium",4.4024643,51.2194475,"Antwerp","2014[1]","9,136"
"17",17,"Xiamen","China",118.089425,24.479834,"Xiamen","2014[1]","8,572"
"18",18,"Los Angeles","United States",-118.2436849,34.0522342,"Los Angeles","2014[1]","8,340"
"19",19,"Tanjung Pelepas","Malaysia",103.551035,1.362374,"Tanjung Pelepas","2014[1]","7,897"
"20",20,"Long Beach","United States",-118.1937395,33.7700504,"Long Beach","2014[1]","6,821"
"21",21,"Laem Chabang","Thailand",100.9158073,13.1040552,"Laem Chabang","2014[1]","6,518"
"22",22,"Ho Chi Minh City (Saigon)","Vietnam",106.6296638,10.8230989,"Saigon","2014[1]","6,334"
"23",23,"Bremen/Bremerhaven","Germany",8.5809424,53.5395845,"Bremen","2014[1]","5,796"
"24",24,"New York and New Jersey","United States",-74.0059413,40.7127837,"New York","2014[1]","5,772"
"25",25,"Yingkou","China",122.108231,40.266062,"Yingkou","2014[1]","5,768"
"26",26,"Tanjung Priok (Jakarta)","Indonesia",106.8714848,-6.1320555,"Jakarta","2014[1]","5,034"
"27",27,"Lianyungang","China",119.221611,34.596653,"Lianyungang","2014[1]","5,005"
"28",28,"Tokyo","Japan",139.6917064,35.6894875,"Tokyo","2014[1]","4,917"
"29",29,"Mumbai","India",72.8776559,19.0759837,"Mumbai","2014[1]","4,496"
"30",30,"Algeciras","Spain",-5.456233,36.1407591,"Algeciras","2014[1]","4,457"
